id,claim_id,book_name,chunk_id,chapter_id,chunk_pos,time_bucket,retrieval_stage,score_vec,score_lex,score_rerank,score_lex_norm,rank,is_disjoint,run_id
46,46_c01,In search of the castaways,castaways_ch001_w0106,ch001,0.228343,EARLY,BM25,,9.860892463036024,,1.0,1,True,run_20260111_012408
46,46_c01,In search of the castaways,castaways_ch001_w0233,ch001,0.502381,MID,BM25,,6.678904555469143,,0.549960902991702,2,True,run_20260111_012408
74,74_c01,In search of the castaways,castaways_ch001_w0005,ch001,0.012197,EARLY,BM25,,8.148433566772905,,0.46250750466751905,1,True,run_20260111_012408
74,74_c01,In search of the castaways,castaways_ch001_w0238,ch001,0.513129,MID,BM25,,7.908718159510115,,0.4392931342011803,2,True,run_20260111_012408
109,109_c01,The Count of Monte Cristo,montecristo_ch001_w0132,ch001,0.084947,EARLY,BM25,,14.734424608426476,,1.0,1,True,run_20260111_012408
109,109_c01,The Count of Monte Cristo,montecristo_ch001_w0862,ch001,0.55152,MID,BM25,,10.957768036294027,,0.5593793116960576,2,True,run_20260111_012408
109,109_c02,The Count of Monte Cristo,montecristo_ch001_w0123,ch001,0.079217,EARLY,BM25,,10.141785537593202,,0.7664599542587132,1,True,run_20260111_012408
109,109_c02,The Count of Monte Cristo,montecristo_ch001_w0740,ch001,0.472988,MID,BM25,,10.611119266926625,,0.840931682571823,2,True,run_20260111_012408
104,104_c01,The Count of Monte Cristo,montecristo_ch001_w0192,ch001,0.123188,EARLY,BM25,,10.175214764950429,,1.0,1,True,run_20260111_012408
104,104_c01,The Count of Monte Cristo,montecristo_ch001_w0864,ch001,0.552845,MID,BM25,,9.054353136008551,,0.8006648088785103,2,True,run_20260111_012408
35,35_c01,In search of the castaways,castaways_ch001_w0064,ch001,0.138134,EARLY,BM25,,6.143961212389771,,0.06998361925462653,1,True,run_20260111_012408
35,35_c01,In search of the castaways,castaways_ch001_w0297,ch001,0.640441,MID,BM25,,16.775313728433453,,0.8789133144424713,2,True,run_20260111_012408
35,35_c02,In search of the castaways,castaways_ch001_w0004,ch001,0.010043,EARLY,BM25,,4.538648945141066,,0.123310268499364,1,True,run_20260111_012408
35,35_c02,In search of the castaways,castaways_ch001_w0297,ch001,0.640441,MID,BM25,,13.625563689683446,,0.8515865250878608,2,True,run_20260111_012408
35,35_c03,In search of the castaways,castaways_ch001_w0078,ch001,0.168143,EARLY,BM25,,9.75912166156214,,0.5098878481283858,1,True,run_20260111_012408
35,35_c03,In search of the castaways,castaways_ch001_w0297,ch001,0.640441,MID,BM25,,13.557173368935157,,0.8401039617177143,2,True,run_20260111_012408
18,18_c01,In search of the castaways,castaways_ch001_w0116,ch001,0.249923,EARLY,BM25,,9.038505677876147,,0.8096713579806245,1,True,run_20260111_012408
18,18_c01,In search of the castaways,castaways_ch001_w0170,ch001,0.366846,MID,BM25,,9.801312205075401,,0.9237506197659092,2,True,run_20260111_012408
18,18_c02,In search of the castaways,castaways_ch001_w0042,ch001,0.090964,EARLY,BM25,,8.704357001616783,,1.0,1,True,run_20260111_012408
18,18_c02,In search of the castaways,castaways_ch001_w0230,ch001,0.495874,MID,BM25,,6.214724173407427,,0.6054764988771238,2,True,run_20260111_012408
31,31_c01,In search of the castaways,castaways_ch001_w0086,ch001,0.185022,EARLY,BM25,,5.014237628678868,,0.12338928068391664,1,True,run_20260111_012408
31,31_c01,In search of the castaways,castaways_ch001_w0297,ch001,0.640441,MID,BM25,,14.326996880050174,,0.8621001253394458,2,True,run_20260111_012408
68,68_c01,In search of the castaways,castaways_ch001_w0079,ch001,0.170313,EARLY,BM25,,13.682651348924793,,0.551409044406602,1,True,run_20260111_012408
68,68_c01,In search of the castaways,castaways_ch001_w0176,ch001,0.379844,MID,BM25,,9.249438954761771,,0.27856571797330093,2,True,run_20260111_012408
68,68_c02,In search of the castaways,castaways_ch001_w0145,ch001,0.31285,EARLY,BM25,,9.850440766669294,,0.6665887591033354,1,True,run_20260111_012408
68,68_c02,In search of the castaways,castaways_ch001_w0256,ch001,0.551881,MID,BM25,,7.415469766887192,,0.4407928037407138,2,True,run_20260111_012408
68,68_c03,In search of the castaways,castaways_ch001_w0101,ch001,0.217392,EARLY,BM25,,6.10967198321809,,0.26106925588154084,1,True,run_20260111_012408
68,68_c03,In search of the castaways,castaways_ch001_w0246,ch001,0.530343,MID,BM25,,9.084796071640696,,0.5273885592704869,2,True,run_20260111_012408
9,9_c01,In search of the castaways,castaways_ch001_w0058,ch001,0.125229,EARLY,BM25,,9.60792479330872,,0.5365466412347577,1,True,run_20260111_012408
9,9_c01,In search of the castaways,castaways_ch001_w0303,ch001,0.653212,MID,BM25,,7.376567592372619,,0.3547974920303802,2,True,run_20260111_012408
9,9_c02,In search of the castaways,castaways_ch001_w0143,ch001,0.308496,EARLY,BM25,,7.895987905712093,,0.6783219659126607,1,True,run_20260111_012408
9,9_c02,In search of the castaways,castaways_ch001_w0187,ch001,0.403374,MID,BM25,,10.388611662095258,,1.0,2,True,run_20260111_012408
84,84_c01,In search of the castaways,castaways_ch001_w0126,ch001,0.271185,EARLY,BM25,,8.500836996756737,,0.37480178440606665,1,True,run_20260111_012408
84,84_c01,In search of the castaways,castaways_ch001_w0264,ch001,0.569131,MID,BM25,,4.996187016167465,,0.15059629099909183,2,True,run_20260111_012408
84,84_c02,In search of the castaways,castaways_ch001_w0103,ch001,0.221705,EARLY,BM25,,8.733329261499264,,0.5027923023130966,1,True,run_20260111_012408
84,84_c02,In search of the castaways,castaways_ch001_w0285,ch001,0.614642,MID,BM25,,8.506415709041411,,0.4832816974385934,2,True,run_20260111_012408
83,83_c01,In search of the castaways,castaways_ch001_w0024,ch001,0.05298,EARLY,BM25,,8.322747648688901,,0.5359893638896466,1,True,run_20260111_012408
83,83_c01,In search of the castaways,castaways_ch001_w0294,ch001,0.633978,MID,BM25,,9.65062910684892,,0.6725396372625819,2,True,run_20260111_012408
83,83_c02,In search of the castaways,castaways_ch001_w0019,ch001,0.042533,EARLY,BM25,,0.20853014992171773,,0.001440807124546804,1,True,run_20260111_012408
83,83_c02,In search of the castaways,castaways_ch001_w0204,ch001,0.439818,MID,BM25,,0.21060693216065107,,0.0016069977433159004,2,True,run_20260111_012408
134,134_c01,The Count of Monte Cristo,montecristo_ch001_w0224,ch001,0.143544,EARLY,BM25,,9.21815645858187,,1.0,1,True,run_20260111_012408
134,134_c01,The Count of Monte Cristo,montecristo_ch001_w0574,ch001,0.366762,MID,BM25,,6.406050554545026,,0.4150293654647146,2,True,run_20260111_012408
134,134_c02,The Count of Monte Cristo,montecristo_ch001_w0146,ch001,0.093961,EARLY,BM25,,7.782307035927889,,1.0,1,True,run_20260111_012408
134,134_c02,The Count of Monte Cristo,montecristo_ch001_w0590,ch001,0.37702,MID,BM25,,5.689935286576058,,0.5578532571119168,2,True,run_20260111_012408
88,88_c01,The Count of Monte Cristo,montecristo_ch001_w0063,ch001,0.040694,EARLY,BM25,,9.129053378064217,,1.0,1,True,run_20260111_012408
88,88_c01,The Count of Monte Cristo,montecristo_ch001_w0668,ch001,0.426635,MID,BM25,,8.566098202803309,,0.8886055053095624,2,True,run_20260111_012408
88,88_c02,The Count of Monte Cristo,montecristo_ch001_w0128,ch001,0.082325,EARLY,BM25,,12.77537266638574,,1.0,1,True,run_20260111_012408
88,88_c02,The Count of Monte Cristo,montecristo_ch001_w1024,ch001,0.655481,MID,BM25,,9.582427360595526,,0.57991242810252,2,True,run_20260111_012408
67,67_c01,In search of the castaways,castaways_ch001_w0140,ch001,0.301878,EARLY,BM25,,10.729236348202514,,0.26597681788629624,1,True,run_20260111_012408
67,67_c01,In search of the castaways,castaways_ch001_w0210,ch001,0.452673,MID,BM25,,10.180982450904501,,0.2367240058560988,2,True,run_20260111_012408
67,67_c02,In search of the castaways,castaways_ch001_w0025,ch001,0.05512,EARLY,BM25,,6.647263536031814,,0.3248912148151332,1,True,run_20260111_012408
67,67_c02,In search of the castaways,castaways_ch001_w0195,ch001,0.420797,MID,BM25,,7.311559290398825,,0.38168536543967013,2,True,run_20260111_012408
67,67_c03,In search of the castaways,castaways_ch001_w0095,ch001,0.204245,EARLY,BM25,,6.272332953946752,,0.4317243874749203,1,True,run_20260111_012408
67,67_c03,In search of the castaways,castaways_ch001_w0212,ch001,0.457049,MID,BM25,,6.095210416470942,,0.4181867586734665,2,True,run_20260111_012408
112,112_c01,The Count of Monte Cristo,montecristo_ch001_w0199,ch001,0.127691,EARLY,BM25,,8.295252168384685,,0.505369683628915,1,True,run_20260111_012408
112,112_c01,The Count of Monte Cristo,montecristo_ch001_w0771,ch001,0.49333,MID,BM25,,9.744935083276523,,0.8989765708279914,2,True,run_20260111_012408
112,112_c02,The Count of Monte Cristo,montecristo_ch001_w0079,ch001,0.051174,EARLY,BM25,,8.8624753447267,,0.8059126400930146,1,True,run_20260111_012408
112,112_c02,The Count of Monte Cristo,montecristo_ch001_w0864,ch001,0.552845,MID,BM25,,9.888823837172998,,1.0,2,True,run_20260111_012408
79,79_c01,In search of the castaways,castaways_ch001_w0106,ch001,0.228343,EARLY,BM25,,9.13059428864724,,0.5516346201018937,1,True,run_20260111_012408
79,79_c01,In search of the castaways,castaways_ch001_w0295,ch001,0.636116,MID,BM25,,11.062703290994914,,0.732857537421727,2,True,run_20260111_012408
79,79_c02,In search of the castaways,castaways_ch001_w0068,ch001,0.146632,EARLY,BM25,,6.031897020001444,,0.4034215597315094,1,True,run_20260111_012408
79,79_c02,In search of the castaways,castaways_ch001_w0249,ch001,0.536863,MID,BM25,,4.02969077957515,,0.2609319469288032,2,True,run_20260111_012408
55,55_c01,In search of the castaways,castaways_ch001_w0042,ch001,0.090964,EARLY,BM25,,12.345839899486847,,1.0,1,True,run_20260111_012408
55,55_c01,In search of the castaways,castaways_ch001_w0241,ch001,0.519544,MID,BM25,,11.27018704008995,,0.8848635325301164,2,True,run_20260111_012408
55,55_c02,In search of the castaways,castaways_ch001_w0100,ch001,0.215192,EARLY,BM25,,9.698326687726365,,1.0,1,True,run_20260111_012408
55,55_c02,In search of the castaways,castaways_ch001_w0185,ch001,0.399124,MID,BM25,,7.1649136429530005,,0.6556770200116244,2,True,run_20260111_012408
12,12_c01,In search of the castaways,castaways_ch001_w0044,ch001,0.095267,EARLY,BM25,,12.072060374300609,,1.0,1,True,run_20260111_012408
12,12_c01,In search of the castaways,castaways_ch001_w0214,ch001,0.461361,MID,BM25,,7.939982534659407,,0.5030940742052092,2,True,run_20260111_012408
12,12_c02,In search of the castaways,castaways_ch001_w0000,ch001,0.001403,EARLY,BM25,,18.85872091234906,,1.0,1,True,run_20260111_012408
12,12_c02,In search of the castaways,castaways_ch001_w0244,ch001,0.526005,MID,BM25,,10.923558541894222,,0.3805412851865878,2,True,run_20260111_012408
13,13_c01,In search of the castaways,castaways_ch001_w0044,ch001,0.095267,EARLY,BM25,,8.93197203678838,,0.9646461266599387,1,True,run_20260111_012408
13,13_c01,In search of the castaways,castaways_ch001_w0231,ch001,0.497991,MID,BM25,,9.130662527388836,,1.0,2,True,run_20260111_012408
13,13_c02,In search of the castaways,castaways_ch001_w0033,ch001,0.072115,EARLY,BM25,,10.418397399521394,,1.0,1,True,run_20260111_012408
13,13_c02,In search of the castaways,castaways_ch001_w0246,ch001,0.530343,MID,BM25,,9.754064476628734,,0.8888479253003057,2,True,run_20260111_012408
92,92_c01,The Count of Monte Cristo,montecristo_ch001_w0319,ch001,0.203848,EARLY,BM25,,7.996450285199337,,0.4938996768008891,1,True,run_20260111_012408
92,92_c01,The Count of Monte Cristo,montecristo_ch001_w0706,ch001,0.451241,MID,BM25,,10.899214855608754,,1.0,2,True,run_20260111_012408
92,92_c02,The Count of Monte Cristo,montecristo_ch001_w0001,ch001,0.001062,EARLY,BM25,,13.12550757983556,,0.7033685864549339,1,True,run_20260111_012408
92,92_c02,The Count of Monte Cristo,montecristo_ch001_w1005,ch001,0.643159,MID,BM25,,15.824010631498753,,0.9947313457752984,2,True,run_20260111_012408
92,92_c03,The Count of Monte Cristo,montecristo_ch001_w0121,ch001,0.077979,EARLY,BM25,,9.109776823934448,,0.6139555649089514,1,True,run_20260111_012408
92,92_c03,The Count of Monte Cristo,montecristo_ch001_w1022,ch001,0.65419,MID,BM25,,11.343079902855786,,1.0,2,True,run_20260111_012408
1,1_c01,In search of the castaways,castaways_ch001_w0044,ch001,0.095267,EARLY,BM25,,13.552505640594035,,1.0,1,True,run_20260111_012408
1,1_c01,In search of the castaways,castaways_ch001_w0265,ch001,0.571322,MID,BM25,,9.402618539219887,,0.5902104055223827,2,True,run_20260111_012408
1,1_c02,In search of the castaways,castaways_ch001_w0058,ch001,0.125229,EARLY,BM25,,8.077192491620622,,1.0,1,True,run_20260111_012408
1,1_c02,In search of the castaways,castaways_ch001_w0230,ch001,0.495874,MID,BM25,,7.561755709777935,,0.9236368887708448,2,True,run_20260111_012408
1,1_c03,In search of the castaways,castaways_ch001_w0058,ch001,0.125229,EARLY,BM25,,11.005662966305353,,1.0,1,True,run_20260111_012408
1,1_c03,In search of the castaways,castaways_ch001_w0187,ch001,0.403374,MID,BM25,,9.145388287885929,,0.775780098001965,2,True,run_20260111_012408
1,1_c04,In search of the castaways,castaways_ch001_w0044,ch001,0.095267,EARLY,BM25,,8.4564264037528,,1.0,1,True,run_20260111_012408
1,1_c04,In search of the castaways,castaways_ch001_w0187,ch001,0.403374,MID,BM25,,7.388094131189177,,0.8108703605596767,2,True,run_20260111_012408
11,11_c01,In search of the castaways,castaways_ch001_w0042,ch001,0.090964,EARLY,BM25,,10.825340269092525,,1.0,1,True,run_20260111_012408
11,11_c01,In search of the castaways,castaways_ch001_w0293,ch001,0.631836,MID,BM25,,9.179250403381342,,0.7263075117813903,2,True,run_20260111_012408
11,11_c02,In search of the castaways,castaways_ch001_w0065,ch001,0.140283,EARLY,BM25,,8.245735503375247,,1.0,1,True,run_20260111_012408
11,11_c02,In search of the castaways,castaways_ch001_w0180,ch001,0.388492,MID,BM25,,6.432688534277185,,0.6510259675946609,2,True,run_20260111_012408
65,65_c01,In search of the castaways,castaways_ch001_w0058,ch001,0.125229,EARLY,BM25,,4.367971205641272,,0.3080903869735117,1,True,run_20260111_012408
65,65_c01,In search of the castaways,castaways_ch001_w0259,ch001,0.558416,MID,BM25,,4.341347497472623,,0.30432828953298735,2,True,run_20260111_012408
65,65_c02,In search of the castaways,castaways_ch001_w0034,ch001,0.074216,EARLY,BM25,,4.423484266427129,,0.44296749160819565,1,True,run_20260111_012408
65,65_c02,In search of the castaways,castaways_ch001_w0179,ch001,0.386335,MID,BM25,,7.25043875387809,,1.0,2,True,run_20260111_012408
107,107_c01,The Count of Monte Cristo,montecristo_ch001_w0135,ch001,0.086911,EARLY,BM25,,15.365196293004065,,1.0,1,True,run_20260111_012408
107,107_c01,The Count of Monte Cristo,montecristo_ch001_w0863,ch001,0.552176,MID,BM25,,9.691978737589682,,0.449688522460804,2,True,run_20260111_012408
107,107_c02,The Count of Monte Cristo,montecristo_ch001_w0334,ch001,0.213467,EARLY,BM25,,7.512159923422182,,0.4837386068923209,1,True,run_20260111_012408
107,107_c02,The Count of Monte Cristo,montecristo_ch001_w0846,ch001,0.541173,MID,BM25,,9.257821774444952,,0.7812099097766139,2,True,run_20260111_012408
66,66_c01,In search of the castaways,castaways_ch001_w0042,ch001,0.090964,EARLY,BM25,,25.50817037120097,,1.0,1,True,run_20260111_012408
66,66_c01,In search of the castaways,castaways_ch001_w0239,ch001,0.515313,MID,BM25,,13.306762965661676,,0.43176596353615404,2,True,run_20260111_012408
66,66_c02,In search of the castaways,castaways_ch001_w0137,ch001,0.295343,EARLY,BM25,,7.551582899386273,,1.0,1,True,run_20260111_012408
66,66_c02,In search of the castaways,castaways_ch001_w0179,ch001,0.386335,MID,BM25,,7.264681581350084,,0.9365442620073562,2,True,run_20260111_012408
89,89_c01,The Count of Monte Cristo,montecristo_ch001_w0114,ch001,0.073465,EARLY,BM25,,11.337404499962421,,1.0,1,True,run_20260111_012408
89,89_c01,The Count of Monte Cristo,montecristo_ch001_w0842,ch001,0.538628,MID,BM25,,7.872641107165091,,0.44091608729970944,2,True,run_20260111_012408
89,89_c02,The Count of Monte Cristo,montecristo_ch001_w0264,ch001,0.168557,EARLY,BM25,,11.25895366765631,,1.0,1,True,run_20260111_012408
89,89_c02,The Count of Monte Cristo,montecristo_ch001_w0740,ch001,0.472988,MID,BM25,,7.901916945777862,,0.4704425367979969,2,True,run_20260111_012408
34,34_c01,In search of the castaways,castaways_ch001_w0012,ch001,0.027596,EARLY,BM25,,9.38750405718062,,0.27386846457708586,1,True,run_20260111_012408
34,34_c01,In search of the castaways,castaways_ch001_w0297,ch001,0.640441,MID,BM25,,14.743031626076164,,0.6764814530452281,2,True,run_20260111_012408
34,34_c02,In search of the castaways,castaways_ch001_w0027,ch001,0.059358,EARLY,BM25,,8.460654104151201,,0.31287473598898236,1,True,run_20260111_012408
34,34_c02,In search of the castaways,castaways_ch001_w0297,ch001,0.640441,MID,BM25,,13.785275918440508,,0.6296164507637336,2,True,run_20260111_012408
123,123_c01,The Count of Monte Cristo,montecristo_ch001_w0334,ch001,0.213467,EARLY,BM25,,15.021995652245435,,1.0,1,True,run_20260111_012408
123,123_c01,The Count of Monte Cristo,montecristo_ch001_w0982,ch001,0.628425,MID,BM25,,14.261627125084784,,0.891996772762692,2,True,run_20260111_012408
123,123_c02,The Count of Monte Cristo,montecristo_ch001_w0181,ch001,0.116113,EARLY,BM25,,13.210587361152783,,1.0,1,True,run_20260111_012408
123,123_c02,The Count of Monte Cristo,montecristo_ch001_w0550,ch001,0.351482,MID,BM25,,6.622508435141104,,0.20438317517261817,2,True,run_20260111_012408
116,116_c01,The Count of Monte Cristo,montecristo_ch001_w0293,ch001,0.18717,EARLY,BM25,,6.935971350334449,,0.8066249936643829,1,True,run_20260111_012408
116,116_c01,The Count of Monte Cristo,montecristo_ch001_w0695,ch001,0.444241,MID,BM25,,5.514260120036967,,0.4981651940217374,2,True,run_20260111_012408
116,116_c02,The Count of Monte Cristo,montecristo_ch001_w0213,ch001,0.136575,EARLY,BM25,,12.129121697754094,,1.0,1,True,run_20260111_012408
116,116_c02,The Count of Monte Cristo,montecristo_ch001_w0748,ch001,0.478251,MID,BM25,,9.037562869153653,,0.5894983272815588,2,True,run_20260111_012408
43,43_c01,In search of the castaways,castaways_ch001_w0029,ch001,0.063578,EARLY,BM25,,6.390210027351854,,0.22215178614220796,1,True,run_20260111_012408
43,43_c01,In search of the castaways,castaways_ch001_w0297,ch001,0.640441,MID,BM25,,15.504165362087662,,1.0,2,True,run_20260111_012408
108,108_c01,The Count of Monte Cristo,montecristo_ch001_w0060,ch001,0.038678,EARLY,BM25,,16.938757514027905,,1.0,1,True,run_20260111_012408
108,108_c01,The Count of Monte Cristo,montecristo_ch001_w0693,ch001,0.442908,MID,BM25,,10.21986367782366,,0.4416362243443205,2,True,run_20260111_012408
108,108_c02,The Count of Monte Cristo,montecristo_ch001_w0127,ch001,0.081697,EARLY,BM25,,14.486824528804846,,1.0,1,True,run_20260111_012408
108,108_c02,The Count of Monte Cristo,montecristo_ch001_w0688,ch001,0.439669,MID,BM25,,12.902383948343559,,0.7794147902310455,2,True,run_20260111_012408
128,128_c01,The Count of Monte Cristo,montecristo_ch001_w0179,ch001,0.114844,EARLY,BM25,,11.730001097219823,,1.0,1,True,run_20260111_012408
128,128_c01,The Count of Monte Cristo,montecristo_ch001_w0964,ch001,0.61677,MID,BM25,,7.4855674381669735,,0.3756661728166905,2,True,run_20260111_012408
128,128_c02,The Count of Monte Cristo,montecristo_ch001_w0182,ch001,0.116728,EARLY,BM25,,9.04525290722992,,1.0,1,True,run_20260111_012408
128,128_c02,The Count of Monte Cristo,montecristo_ch001_w0559,ch001,0.357262,MID,BM25,,6.011889845275869,,0.4492350205582997,2,True,run_20260111_012408
29,29_c01,In search of the castaways,castaways_ch001_w0004,ch001,0.010043,EARLY,BM25,,15.269970259565525,,0.9176886267298696,1,True,run_20260111_012408
29,29_c01,In search of the castaways,castaways_ch001_w0294,ch001,0.633978,MID,BM25,,15.58770772464398,,0.9498034688753629,2,True,run_20260111_012408
69,69_c01,In search of the castaways,castaways_ch001_w0029,ch001,0.063578,EARLY,BM25,,8.846333409501291,,0.479850298540216,1,True,run_20260111_012408
69,69_c01,In search of the castaways,castaways_ch001_w0175,ch001,0.377648,MID,BM25,,10.160181840979476,,0.5854747490937557,2,True,run_20260111_012408
69,69_c02,In search of the castaways,castaways_ch001_w0124,ch001,0.266978,EARLY,BM25,,8.535946866970678,,0.30646240781623235,1,True,run_20260111_012408
69,69_c02,In search of the castaways,castaways_ch001_w0165,ch001,0.356197,MID,BM25,,6.851783737020947,,0.2048617976085381,2,True,run_20260111_012408
69,69_c03,In search of the castaways,castaways_ch001_w0107,ch001,0.230501,EARLY,BM25,,4.109915531460424,,0.15077439878898494,1,True,run_20260111_012408
69,69_c03,In search of the castaways,castaways_ch001_w0210,ch001,0.452673,MID,BM25,,4.55310888077664,,0.18095693704759425,2,True,run_20260111_012408
50,50_c01,In search of the castaways,castaways_ch001_w0149,ch001,0.321502,EARLY,BM25,,8.71469545816863,,1.0,1,True,run_20260111_012408
50,50_c01,In search of the castaways,castaways_ch001_w0155,ch001,0.334517,MID,BM25,,7.997854219034151,,0.8700885183941324,2,True,run_20260111_012408
50,50_c02,In search of the castaways,castaways_ch001_w0131,ch001,0.282071,EARLY,BM25,,12.160290512111745,,1.0,1,True,run_20260111_012408
50,50_c02,In search of the castaways,castaways_ch001_w0304,ch001,0.655362,MID,BM25,,8.153269133099991,,0.44591791928169844,2,True,run_20260111_012408
50,50_c03,In search of the castaways,castaways_ch001_w0129,ch001,0.277732,EARLY,BM25,,10.831712467728174,,0.6543508360296393,1,True,run_20260111_012408
50,50_c03,In search of the castaways,castaways_ch001_w0246,ch001,0.530343,MID,BM25,,8.845812774474034,,0.4603270822690345,2,True,run_20260111_012408
5,5_c01,In search of the castaways,castaways_ch001_w0101,ch001,0.217392,EARLY,BM25,,7.4794265499858,,0.6057184084654035,1,True,run_20260111_012408
5,5_c01,In search of the castaways,castaways_ch001_w0182,ch001,0.392663,MID,BM25,,10.116887583023088,,1.0,2,True,run_20260111_012408
39,39_c01,In search of the castaways,castaways_ch001_w0004,ch001,0.010043,EARLY,BM25,,4.186194370739601,,0.05719906767379838,1,True,run_20260111_012408
39,39_c01,In search of the castaways,castaways_ch001_w0297,ch001,0.640441,MID,BM25,,13.838308757097456,,0.8076337686709598,2,True,run_20260111_012408
39,39_c02,In search of the castaways,castaways_ch001_w0078,ch001,0.168143,EARLY,BM25,,5.542672530181171,,0.15008850700635828,1,True,run_20260111_012408
39,39_c02,In search of the castaways,castaways_ch001_w0297,ch001,0.640441,MID,BM25,,13.72236272023789,,0.843926322978902,2,True,run_20260111_012408
19,19_c01,In search of the castaways,castaways_ch001_w0058,ch001,0.125229,EARLY,BM25,,10.74032803017488,,1.0,1,True,run_20260111_012408
19,19_c01,In search of the castaways,castaways_ch001_w0197,ch001,0.425057,MID,BM25,,5.299107999260839,,0.3054153632266693,2,True,run_20260111_012408
113,113_c01,The Count of Monte Cristo,montecristo_ch001_w0219,ch001,0.140397,EARLY,BM25,,11.91357078059956,,1.0,1,True,run_20260111_012408
113,113_c01,The Count of Monte Cristo,montecristo_ch001_w0596,ch001,0.380825,MID,BM25,,8.909573861100398,,0.6407337153044247,2,True,run_20260111_012408
113,113_c02,The Count of Monte Cristo,montecristo_ch001_w0146,ch001,0.093961,EARLY,BM25,,10.175092249487575,,0.876952748641465,1,True,run_20260111_012408
113,113_c02,The Count of Monte Cristo,montecristo_ch001_w0768,ch001,0.491404,MID,BM25,,11.061621121572871,,1.0,2,True,run_20260111_012408
139,139_c01,The Count of Monte Cristo,montecristo_ch001_w0196,ch001,0.12578,EARLY,BM25,,11.82807166047288,,1.0,1,True,run_20260111_012408
139,139_c01,The Count of Monte Cristo,montecristo_ch001_w0532,ch001,0.339913,MID,BM25,,6.510012775223606,,0.2249032417334834,2,True,run_20260111_012408
71,71_c01,In search of the castaways,castaways_ch001_w0137,ch001,0.295343,EARLY,BM25,,11.250788140239216,,0.35813462018733927,1,True,run_20260111_012408
71,71_c01,In search of the castaways,castaways_ch001_w0165,ch001,0.356197,MID,BM25,,7.102747310673733,,0.14512745758323506,2,True,run_20260111_012408
71,71_c02,In search of the castaways,castaways_ch001_w0062,ch001,0.133806,EARLY,BM25,,6.223468655168394,,0.3711615778281502,1,True,run_20260111_012408
71,71_c02,In search of the castaways,castaways_ch001_w0233,ch001,0.502381,MID,BM25,,10.467365221628377,,0.6861681489934047,2,True,run_20260111_012408
71,71_c03,In search of the castaways,castaways_ch001_w0028,ch001,0.061483,EARLY,BM25,,7.749325690938579,,0.48169875776518123,1,True,run_20260111_012408
71,71_c03,In search of the castaways,castaways_ch001_w0204,ch001,0.439818,MID,BM25,,6.688052829746722,,0.37682908414943617,2,True,run_20260111_012408
26,26_c01,In search of the castaways,castaways_ch001_w0116,ch001,0.249923,EARLY,BM25,,6.931164677042525,,0.1943788524924456,1,True,run_20260111_012408
26,26_c01,In search of the castaways,castaways_ch001_w0297,ch001,0.640441,MID,BM25,,16.926798472047146,,0.8225883091096512,2,True,run_20260111_012408
26,26_c02,In search of the castaways,castaways_ch001_w0017,ch001,0.038313,EARLY,BM25,,5.929762190528606,,0.12447634684405497,1,True,run_20260111_012408
26,26_c02,In search of the castaways,castaways_ch001_w0297,ch001,0.640441,MID,BM25,,17.765584915103872,,1.0,2,True,run_20260111_012408
26,26_c03,In search of the castaways,castaways_ch001_w0029,ch001,0.063578,EARLY,BM25,,7.559952347794396,,0.2827994999615036,1,True,run_20260111_012408
26,26_c03,In search of the castaways,castaways_ch001_w0297,ch001,0.640441,MID,BM25,,15.182103889672444,,0.9336157814911595,2,True,run_20260111_012408
